書刊名稱,出版日期,數量
2024年緊急應變指南,001,300
AN/PRC-174、VRC-174、176無線電機操作手冊,90.11.5,2
AN/PRC-77、GRC-160無線電機操作手冊,90.11.5,2
AN/VRC-46、47、49無線電機操作手冊,90.11.5,2
CM21系國造履帶裝步戰鬥車操作手冊,96.5.2,5
CTM-218/DX-15E多波道機操作手冊,90.11.5,2
FM-200/DX-15-60多波道機操作手冊,90.11.05,2
KY-1000A數位式電子交換機操作手冊,90.11.5,2
M101A1式105榴砲單砲教練手冊,90.12.12,2
M110A2自走式8吋榴彈砲操作手冊,92.11.3,1
M113系甲車操作手冊,96.3.22,5
M114A1牽引式155公厘榴彈砲操作手冊,92.11.3,1
M2-QCB式五〇重機槍操作手冊,93.9.10,15
M2牽引式155公厘加農砲暨8吋榴彈砲操作手冊,92.11.3,1
M3機動浮門橋操作手冊,90.06.29,1
M48A5履帶機動橋操作手冊,87.06.30,5
MD-105重型消毒車操作手冊,106.10.19,100
MDS-106輕型消毒器操作手冊,108.05.06,318
MGB中極橋操作手冊(上冊),90.09.24,2
MGB中極橋操作手冊(下冊),90.09.24,2
OWL化學警報器操作手冊,106.9.25,60
PSTAR預警雷達操作手冊,92.10.16,2
T74排用機槍操作手冊,93.9.1,10
TH-67直升機訓練教範,114.11.20,1
TH-67訓練手冊,112.10.30,2
TS-102式多功能雷觀機操作手冊,108.11.25,3
TS83A2夜視鏡操作手冊,93.9.1,5
TS84A1夜視鏡操作手冊,93.9.1,5
V-150系裝甲車操作手冊,96.3.22,5
W1102D壓路機操作手冊,96.05.02,2
工事教範,91.09.25,30
中共戰術,111.12.12,3
化生放核作業中心手冊,109.10.19,204
化學通用裝備操作手冊,110.8.9,249
化學彈藥操作手冊,90.7.30,302
反裝甲飛彈連(拖式、標槍)訓練教範,111.10.13,2
反裝甲營、連作戰教範(第二版)(反裝甲部隊作戰教範),96.11.8,2
火攻及反火攻訓練教範(第二版),96.9.26,200
地雷作業手冊(第一版),97.10.31,2
地雷搜索器暨防護裝備操作手冊(第一版),96.11.19,5
兵種協同訓練教範(第二版),97.11.6,15
步兵旅作戰教則,112.12.13,10
兩棲偵察營作戰教範,112.8.30,2
夜戰教範,110.11.17,15
拋繩槍操作手冊(第一版),96.11.19,2
法律支援作戰教範,112.11.13,1
狙擊組(手)訓練教範(第一版),98.3.4,2
直升機空中突擊訓練教範,111.12.5,2
空投暨保傘專長訓練手冊,111.10.5,2
空軍作戰要綱,002,1
空降導航及地面導引訓練教範,113.10.25,2
近程反裝甲火箭-APILAS操作手冊,89.11.30,2
近程反裝甲火箭-AT-4操作手冊,89.11.30,2
近戰戰技手冊,109.10.26,5
美造M30式4.2吋迫擊砲操作手冊,95.8.24,2
軍事工程教範,94.04.15,4
香檳710A平路機操作手冊,92.08.01,2
旅、營、連級野戰數位電子交換機操作手冊,112.11.08,2
浚河基礎作業手冊,95.04.07,10
海空聯合作戰教則(草案),89.12.01,50
海軍作戰環境情報準備教範,003,2
海軍陸戰隊化學兵部隊訓練手冊,004,10
海軍陸戰隊裝備(補給品)攜行手冊,005,2
海軍艦隊情報教範,006,2
特種作戰情報技術訓練教範(第一版),98.3.4,2
高空特種勤務中、區隊訓練教範(第一版),98.3.19,2
高空特種勤務中隊作戰教範,111.12.5,2
高空特種勤務技術專長訓練手冊(第一版),97.7.31,2
高空跳傘滲透專長訓練手冊,108.10.17,2
國軍公路運輸勤務手冊,107.8.15,10
國軍化生放核防護教則,110.9.7,100
國軍水運勤務手冊,107.8.31,2
國軍主要武器系統與裝備系統工程管理教則,98.01.06,5
國軍主要武器系統與裝備測試評估教則,98.01.06,4
國軍主財要綱,112.10.24,1
國軍未爆(廢)彈處理手冊,114.7.29,3
國軍武器系統與裝備整體後勤支援教則,104.12.29,2
國軍保密工作教則,111.5.11,14
國軍城鎮作戰教則(草案),95.12.16,5
國軍後勤要綱,114.6.13,10
國軍政治作戰要綱,111.12.1,5
國軍軍事思想-民國90年版,90.12.25,50
國軍軍事氣象教則(第一版),100.5.27,8
